platform,author,title,content,rating,version,vote_sum,vote_count,updated,review_id,country
appstore,강도라고,잘 쓰고 있습니다.. 정말 감사합니다!,"몇몇 아쉬운점이 있지만, 간단한 컷과 빠른 자막으로 잘 사용하고 있습니다..",5,0.7.9,0,0,2021-08-02T08:31:55-07:00,7646941500,kr
appstore,이하은ㄴ,전체 자막 복사 후 다른 프로젝트 동영상에 씌우기 위해 붙여넣기를 시도해도 클립보드에 복사된 것이 없다고 뜹니다,전체 자막 복사 후 다른 프로젝트 동영상에 씌우기 위해 붙여넣기를 시도해도 클립보드에 복사된 것이 없다고 뜹니다. 목소리 없이 자막만 들어가는 브이로그 편집을 위해 어플을 사용하고 있습니다. 목소리가 들어간 영상에서 추출한 텍스트를 다른 프로젝트 영상(목소리가 삭제된 영상)에 삽입할 수 있는 방법은 없나요?,4,0.7.8,0,0,2021-07-26T00:48:26-07:00,7619149232,kr
appstore,스마트꼬부깅,리뷰잘안쓰는데 대만족이라 남깁니다..,단언컨데 역대급 편집툴입니다…,5,0.7.8,0,0,2021-07-24T10:59:58-07:00,7613588976,kr
appstore,송쑥,자막과 편집을 동시에,"자막 뿐 아니라 필요없는 무음구간까지 편집하니 
시간이 많이 절약 됩니다. 
아이무비나 다른 편집앱보다 훨씬 엣지 있답니다~",5,0.7.8,0,0,2021-07-24T00:20:41-07:00,7611753587,kr
appstore,일강일,편집 콜,자막이 나와 너무 좋습니다,5,0.7.8,0,0,2021-07-19T23:08:46-07:00,7596784475,kr
appstore,은지ㅎㅎ,최고에요 :),"웬만한 어플은 리뷰 안쓰는데, 넘 만족스러워서 작성해요! 유튭 편집하면서 pc버전으로 주로 쓰고, 어플은 영어번역이 필요할때 주오 사용해요 ㅎㅎ 
영어번역이 넘 퀄리티있고 센스있어요! :)
감사합니다",5,0.7.7,0,0,2021-06-28T07:39:04-07:00,7515701356,kr
appstore,richRAHYEON,내보내기가 안되요.,"자막기능 당연히 베스트입니다.
다만 최근 내보내기 기능이 되지 않아 짜증날 떄가 한두번이 아니에요. 계속 다시 시도하라고 나옵니다. 재부팅을 해도 되지 않아 화가 납니다.",3,0.7.4,0,0,2021-05-29T05:03:49-07:00,7401980501,kr
appstore,꿀팁입이다,개발자님 흥하세요,들숨에 재력과 날숨에 건강하십시오,5,0.6.6,0,0,2021-03-22T03:13:33-07:00,7131007416,kr
appstore,HolhMolyPoly,최고에요ㅠㅠ갓개발자님,"와,,,진짜 저 살면서 아이폰 어플 리뷰 한 번도 해본 적 없는 사람인데, 개발자님 너무 멋있습니다. 덕분에 대학교 싸강 영어 수업 따라가기 어려웠는데, 이 어플로 제대로 공부하고 있습니다. ㅠㅠ듣기가 약해서 좌절하면서 수업듣고 있었는데, 한국교수님이 영어로 이야기하는 수업인데도 발음 음원인식 너무 잘해서 덕분에 편하게 수업 듣고 있습니다. 심지어 동시자막 인식까지,,살면서 가장 유용하고 편하게 도움 받으며 쓰는 어플 같네요. 진심으로 감사합니다. 개발자님 적게 일하고 많이 벌으세요❤️",5,0.6.6,0,0,2021-03-11T05:59:52-07:00,7090859159,kr
appstore,kang010710,아이패드로 자막넣기 너무 좋아요,Ui가 편하게 잘 되어있어요! 간단한 영상 보정까지 가능하면 더 좋을 거 같습니다. 폰트 검색도 가능하면 더더 좋겠어요!,5,0.6.5,0,0,2021-03-06T00:28:44-07:00,7071074619,kr
